year,month,open,high,low,close,volume
2018,3,177.01,177.17,161.95,166.14,193493607
2018,3,185.23,186.1,181.11,185.09,87595042
2018,3,176.2,185.51,175.89,185.23,83662089
2018,3,184.58,185.66,172.99,176.62,94503755
2018,2,175.77,183.39,175.11,183.29,79438763
2018,2,177.06,180.5,171.84,177.36,121571371
2018,2,186.93,190.61,167.18,176.11,166459969
2018,2,188.75,195.32,181.84,190.28,146828394
2018,1,180.8,190.66,180.41,190.0,101866494
2018,1,181.5,182.37,175.8,181.29,111433994
2018,1,187.2,188.9,177.4,179.37,123027236
2018,1,177.68,186.9,177.55,186.85,60887131
2017,12,176.63,178.9367,174.67,176.46,39060841
2017,12,181.01,181.3,176.23,177.2,63051859
2017,12,179.3,180.4934,176.6,180.18,83331115
2017,12,176.29,182.28,169.01,179.0,103237482
2017,12,182.56,184.25,172.34,175.1,112949299
2017,11,178.87,183.15,178.1,182.78,44125846
2017,11,177.5,179.98,176.4,179.0,56980476
2017,11,178.56,180.75,177.09,178.46,59632861
2017,11,179.26,182.9,176.71,178.92,125560688
2017,10,175.2,178.21,168.89,177.88,81147435
2017,10,174.49,176.74,172.63,174.98,64726951
2017,10,172.7,174.88,170.8,173.74,60345368
2017,10,171.39,172.37,168.29,172.23,59671804
2017,9,169.24,171.66,161.56,170.87,109568157
2017,9,171.99,173.05,169.22,170.54,60486408
2017,9,172.4,174.0,170.26,171.64,63133739
2017,9,171.27,173.49,169.55,170.95,55694035
2017,9,166.91,172.92,165.0,172.02,59107056
2017,8,167.16,169.87,165.82,166.32,58915675
2017,8,170.09,171.5,166.21,167.41,68713474
2017,8,169.95,173.05,166.85,168.08,70932441
2017,8,172.0,172.72,166.91,169.62,76948140
2017,7,164.64,175.49,163.86,172.45,147942798
2017,7,160.25,165.7,158.81,164.43,94893412
2017,7,151.69,160.32,151.51,159.97,79001017
2017,7,151.72,152.15,147.8,151.44,55915968
2017,6,156.25,156.5,148.92,150.98,92141500
2017,6,151.71,155.2,151.71,155.07,76973151
2017,6,148.17,152.4,144.56,150.64,115154831
2017,6,153.64,155.59,146.61,149.6,90189623
2017,6,151.97,153.63,150.3,153.61,62101184
2017,5,148.08,152.59,147.25,152.13,77503263
2017,5,150.17,151.48,144.42,148.06,95124319
2017,5,150.71,152.59,148.86,150.33,65762771
2017,5,151.74,153.6,148.72,150.24,120791432
2017,4,144.96,151.53,144.34,150.25,84248409
2017,4,139.76,144.25,139.75,143.68,70241246
2017,4,141.0,141.43,138.81,139.39,48255523
2017,4,141.93,143.44,140.24,140.78,70585483
2017,3,139.05,142.95,138.77,142.05,67889816
2017,3,139.71,142.31,137.6,140.34,88737188
2017,3,138.71,140.34,138.49,139.84,77450054
2017,3,136.88,139.49,136.51,138.79,68309197
2017,3,135.26,137.82,134.75,137.17,70131137
2017,2,133.5,136.79,132.9,135.44,73167492
2017,2,134.7,134.7,132.55,133.53,66225214
2017,2,130.98,134.94,130.3,134.19,85578047
2017,2,131.58,135.49,129.5157,130.98,168057691
2017,1,127.31,133.14,126.95,132.18,90093256
2017,1,128.04,128.48,126.78,127.04,59733000
2017,1,123.55,129.27,123.04,128.34,102099712
2017,1,116.03,123.88,115.51,123.41,88332257
2016,12,116.96,118.68,114.7739,115.05,52757837
2016,12,119.85,120.36,116.3,117.27,67518766
2016,12,119.22,122.5,117.61,119.87,118950517
2016,12,115.95,119.94,115.07,119.68,101153880
2016,12,120.12,122.1,114.0,115.4,135528550
2016,11,118.2,122.98,117.8,120.38,85835270
2016,11,119.1256,119.13,113.5535,117.02,159933425
2016,11,122.83,124.61,115.27,119.02,175072509
2016,11,132.01,132.12,119.25,120.75,182248711
2016,10,132.72,133.5,129.27,131.29,85178685
2016,10,128.2,132.13,127.32,132.07,73864266
2016,10,129.68,130.7,126.75,127.88,74234237
2016,10,128.38,129.2765,127.5499,128.99,64338393
2016,9,127.37,129.47,126.8,128.27,75684873
2016,9,129.91,130.73,127.3,127.96,83975511
2016,9,125.96,129.18,125.75,129.07,94220304
2016,9,126.67,131.98,126.47,127.1,97046477
2016,9,124.35,126.86,124.35,126.51,73585720
2016,8,123.33,125.19,123.09,124.96,68175168
